pressure_bin,temp_adjusted,psal_adjusted,juld,year,month,day,time,latitude,longitude,source_file,region,salinity_mean,salinity_std,temp_mean,temp_std,salinity_z,temp_z,salinity_flag,temp_flag
"(50, 100]",13.3339,35.2095,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.98662503529412,1.830892081202164,19.14105449117647,5.191820153414921,0.12173025761274842,-1.1185199640162442,normal,normal
"(100, 150]",12.5838,35.0614,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,35.041496888235294,1.8163262322655518,17.831301605882352,4.146793255683332,0.010957894793976297,-1.2654360326959775,normal,normal
"(150, 200]",11.403199,34.815998,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,35.04181110588235,1.7961577844737833,16.11574094705882,3.1600658538747837,-0.12572008307639201,-1.4912796647197826,normal,normal
"(200, 250]",11.216,34.8772,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.99689159411765,1.77669995155846,14.531547208823529,2.5360775922539074,-0.06736736499185342,-1.3073524323350367,normal,normal
"(250, 300]",10.253799,34.7634,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.91002193529412,1.7583099008051688,13.11345325,1.9174876352358474,-0.08338799390652325,-1.491354727639882,normal,normal
"(300, 350]",9.9376,34.7228,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.79868301764706,1.740898180871113,11.942244620588236,1.3140761304171535,-0.04358842951348696,-1.525516348852529,normal,normal
"(350, 400]",9.874,34.7305,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.69850869411765,1.7279319808506388,11.04636564117647,0.8851496434429423,0.01851421597428928,-1.324482984161131,normal,normal
"(400, 450]",9.669001,34.709,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.610975476190475,1.729337499809391,10.348078889880952,0.6544725029769632,0.05668328121048217,-1.0375957535145754,normal,normal
"(450, 500]",9.5265,34.6945,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.54677298224853,1.715296024842352,9.797125686390531,0.6179167085886427,0.08612333708698956,-0.437964668423768,normal,normal
"(500, 550]",9.435,34.688,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.49491465868263,1.7180908536894104,9.341432080838322,0.659788159603074,0.11238366172705087,0.14181509292008,normal,normal
"(550, 600]",9.227,34.657,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.45980545266272,1.7036074324144537,8.899858328994084,0.7630436083550681,0.11575116636923788,0.4287326011565088,normal,normal
"(600, 650]",9.141,34.647,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.42736672352941,1.6949674207387813,8.44785755647059,0.8664365427508172,0.12957964488477164,0.7999921625290392,normal,normal
"(650, 700]",9.063,34.639,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.39842652662722,1.6966427833920252,7.973227378698225,0.9323247599130656,0.14179382703754279,1.16887662771435,normal,normal
"(700, 750]",8.806,34.61,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.37039091715976,1.693451439165608,7.474763594674557,0.9339953210635309,0.14149155818622042,1.425313784023647,normal,normal
